Date,parks,grocery_and_pharmacy,retail_and_recreation,transit_stations,workplaces,residential,new_cases,Borough,crime
Aug,94.3125,-7.838709677,-21.4516129,-44.83870968,-46.96774194,13.06451613,106,Lewisham,2456
Sep,80,-2.233333333,-17.86666667,-35.9,-42.63333333,12.16666667,350,Lewisham,2411
Oct,35.29032258,-4.35483871,-23.06451613,-39.58064516,-39.80645161,14.12903226,1186,Lewisham,2485
Nov,44.96666667,-3.266666667,-40,-47.7,-46.63333333,18.33333333,1444,Lewisham,2322
Dec,32.03225806,-2.129032258,-34.16129032,-52.06451613,-50.16129032,19.09677419,7766,Lewisham,2057
Mar,5.096774194,0.419354839,-34.70967742,-35.70967742,-28.35483871,12.5483871,273,Merton,1135
Apr,3.933333333,-31.06666667,-76.86666667,-75.66666667,-71.73333333,30.36666667,470,Merton,890
May,70.38709677,-20.25806452,-65.87096774,-67.41935484,-61.70967742,24.96774194,147,Merton,997
Jun,73.06666667,-13.5,-51.76666667,-57.46666667,-51.06666667,20.93333333,41,Merton,1106
Jul,78,-14.61290323,-34.87096774,-50.83870968,-46.5483871,16.06451613,33,Merton,1271
Aug,71.4375,-16.51612903,-27.61290323,-48.12903226,-44.16129032,12.32258065,72,Merton,1208
Sep,47.65,-13.83333333,-26.6,-40.2,-40.9,11.13333333,167,Merton,1245
Oct,4.870967742,-15.70967742,-32.22580645,-42.87096774,-37.51612903,13.32258065,898,Merton,1204
Nov,13.76666667,-14.96666667,-50.43333333,-50.43333333,-44.56666667,17.4,1423,Merton,1098
Dec,9.387096774,-12.74193548,-45.93548387,-53.51612903,-49.16129032,18.77419355,5795,Merton,966
Mar,5.64516129,-0.322580645,-34.51612903,-34.19354839,-29.51612903,11.61290323,369,Newham,2593
Apr,28.2,-34.23333333,-78.96666667,-74.7,-72.26666667,28.66666667,678,Newham,2071
May,109.6774194,-20.93548387,-70.93548387,-67.16129032,-62.12903226,23.19354839,142,Newham,2329
Jun,130.8666667,-12.8,-55.73333333,-56.16666667,-50,18.6,66,Newham,2692
Jul,253.0645161,-10.25806452,-39.80645161,-47.74193548,-45.09677419,13.80645161,81,Newham,2984
Aug,243,-16.03225806,-29.32258065,-44.29032258,-42.96774194,10.29032258,163,Newham,2981
Sep,181.95,-13.9,-31.46666667,-39.8,-38.53333333,9.466666667,651,Newham,2893
Oct,105.0645161,-13.06451613,-34.09677419,-40.70967742,-35.67741935,11.09677419,2063,Newham,3092
Nov,114.5333333,-13.26666667,-52.36666667,-49.13333333,-41.56666667,14.73333333,3274,Newham,2785
Dec,79.35483871,-13,-44.38709677,-52.58064516,-45.41935484,15.96774194,12565,Newham,2877
Mar,9.032258065,3.709677419,-21.06451613,-30.87096774,-28,11.32258065,247,Redbridge,1907
Apr,41.66666667,-31.33333333,-66.13333333,-71.73333333,-71.86666667,27.96666667,587,Redbridge,1482
